,Argument ID,Conclusion,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
40,A03013,We should subsidize journalism.,in favor of,"Journalism and the free expression of information and the exchange of ideas are a fundamental human right, thus improving its quality and scope.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,A03015,We should cancel the pride parades.,in favor of,The parades of pride create a huge disruption,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
48,A04004,We should ban human cloning.,in favor of,Human cloning is an unnatural act that goes against the laws of nature. It is too dangerous of an act and is something that man should not trade.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,A04006,We should cancel the pride parades.,in favor of,Why should homosexuals have a pride parade?Heterosexuals don't have it!,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
50,A04007,We should ban prayer in school.,against,Allowing children to pray and take some quiet time in school can be beneficial for their mental health.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
55,A04013,We should adopt gender-neutral language.,against,We should not adopt gender-neutral language because it was created as a man and as a woman.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,A04014,We should ban whaling.,in favor of,Whale hunting is a barbaric practice that destroys majestic animals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,A04016,We should limit the remuneration of executives.,against,The executives deserve the money because they do stressful and demanding work leading large organizations that hire a large number of people.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,A04017,We should adopt a zero tolerance policy in schools.,against,Zero telerance policy does not address the underlying causes of the behaviour that causes the problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
63,A05005,We should ban factory farming.,in favor of,· Factory farming is bad for the environment and should be banned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,A05017,We should ban cosmetic surgery.,in favor of,Cosmetic surgery is useless and dangerous.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
71,A05018,We should abolish the Olympic Games,in favor of,The Olympic Games cause trouble and a lot of money.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
73,A05022,We should adopt gender-neutral language.,in favor of,We should adopt gender-neutral language because it avoids offending people with gender stereotypes.,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
78,A05033,We should fund embryonic stem cell research.,against,This research is very controversial and against many religions,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
80,A05036,We should put an end to compulsory retirement.,in favor of,The loss of experience and knowledge related to mandatory retirement is costly for businesses.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,A05044,We must limit judicial activism,in favor of,"Activists are not the judges who shape the laws. They are not ""all"" the people for whom the laws are passed. judicial activism must be limited to only verifying the excessive use of power by governments.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,A05049,We should ban prayer in school.,in favor of,Prayer in schools violates a person's right to follow any religion that he or she chooses.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,A05059,We should cancel the pride parades.,against,♪ Pride parades can show everyone that we're tolerating everyone ♪,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
97,A05063,We should ban factory farming.,in favor of,It must be banned so that it does not remove our farms and causes more global warming.,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
98,A05064,We should abolish zoos.,against,The zoos do a lot of conservation work and have managed to raise animals that were about to disappear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,A05068,We should ban targeted murders.,against,Targeted murders should not be banned because this means that dangerous people can be prevented from injuring others.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
101,A05069,We should adopt a multi-party system.,against,The bipartite system is cheaper and easier to use than any multiparty system.,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
103,A05071,We should ban human cloning.,in favor of,Human cloning should be prohibited because it allows creative humans to be cultivated according to the wishes of the parents.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
104,A05073,We should ban whaling.,in favor of,Whale hunting is inhuman and unnecessary and kills the whale population.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,A05086,We should ban telemarketing.,in favor of,"· Telemarketing is intrusive, boring and violates privacy",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
115,A05088,We should give up the use of the school uniform.,in favor of,"If you are not required to wear a uniform, you are free to choose styles of clothing that are more favorable to your type of body and coloring, which allows you to look at your best",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,A05090,We should give up the use of the school uniform.,in favor of,Inducing children to wear school uniforms shows our children that they cannot think as individuals and that they must conform to the way societies think.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,A05091,We must fight for the abolition of nuclear weapons.,against,Nuclear weapons can generate some respect,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,A05093,We should ban the use of children's actors.,in favor of,Children's actors lose their sense of good childhood.,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,A05095,We should abolish the laws on the three strikes.,against,We need the three strikes as a deterrent.,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
122,A05096,We should ban prayer in school.,against,"A non-denominational school prayer is as bad as reciting the oath of allegiance at school, and should be allowed.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
124,A05098,We should limit the remuneration of executives.,against,"We should not limit the remuneration of executives, because they should be paid equal to their contribution to the organization.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
132,A06011,We must put an end to the use of economic sanctions.,in favor of,Economic sanctions are unethical for the economies of the underdeveloped small countries.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
136,A06020,We should cancel the pride parades.,against,"The marches of pride are a crucial element of gay visibility and the fight for equality. Ensure that the fight against injustice continues, especially in countries where homosexuality is still a criminal offence.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
138,A07006,We should ban missionary work,in favor of,People should keep their religion for themselves,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
139,A07007,We should adopt atheism,in favor of,"Not everyone believes or practises a religion, so we should adopt atheism for them.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
141,A07009,We should ban private military companies.,in favor of,"Only governments can trust the armies, so we should ban private military companies.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
146,A07016,We should ban factory farming.,in favor of,"Plant farming treats animals inhumanly, which is unfair and immoral.",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
161,A07038,We should give up the use of the school uniform.,in favor of,To allow students to make their own choices about the clothes they wear to prepare them for the adult world.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,A07050,We should legalize cannabis.,in favor of,Cannabis should be legalized because it is no worse than alchohol.,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,A07054,We must put an end to the use of economic sanctions.,in favor of,"If we put an end to economic sanctions, it would lead to a fairer commercial market.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
173,A07055,We should give up the use of the school uniform.,against,♪ School uniforms are a good way to keep our kids from looking too sexualized about what they wear ♪,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
174,A07057,We should legalize sexual selection,against,The selection of the genre is essentially a game of god.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
178,A07061,We must abolish the right to keep and bear arms.,against,The right to bear arms has been a fundamental right since the establishment of that country and must be protected.,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
180,A07063,We should adopt a multi-party system.,against,The adoption of a multi-party system leads to the formation of weak and unstable coalition governments,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
183,A07068,We should limit the remuneration of executives.,against,The directors provide profits to shareholders and should be compensated accordingly,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
184,A07069,We should fund embryonic stem cell research.,against,It is against certain religious beliefs and can be considered immoral.,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
196,A07089,We should ban telemarketing.,against,The ban on telemarketing is not approved anywhere because customers will not be able to see new products available for purchase.,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,A08003,We should ban the Church of Scientology,against,"People are entitled to their own religious beliefs, no matter how strange others find them.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
211,A08011,We should abolish safe spaces.,in favor of,Safe spaces are for people who don't like to talk about issues in a civilized way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,A08014,We should put an end to compulsory retirement.,against,"In the absence of a mandatory retirement age at the employer's disposal, dismissal procedures would likely begin earlier.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
217,A08019,We should give up the use of the school uniform.,in favor of,The uniform of the school is obsolete and removes individual personalities.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,A09002,We should legalize cannabis.,in favor of,"As a non-addictive natural substance that is less harmful than legal substances such as tobacco and alcohol, it seems that cannabis is still illegal simply because of old prejudices.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,A09004,We should ban fast food.,against,The fast food is excellent when you need a quick meal during the race and it is more nutritious than snacking on unhealthy chocolate bars or snacks.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,A09007,We should adopt gender-neutral language.,against,"Language changes cannot be legislated, they evolve spontaneously over time.",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
231,A09013,We should stop the development of autonomous cars.,against,● Self-driving cars provide an opportunity for people to spend more time on the things they like to do on their journey rather than having to focus.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
232,A09014,We should ban missionary work,in favor of,"Historically, missionaries have interfered unhealthyly with other cultures and continue to do so.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
235,A09018,We should adopt atheism,against,We should not adopt atheism because organized religion instills good morals in people.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
236,A09021,We should subsidize Wikipedia.,in favor of,"The granting of grants would make it possible to devote more money to the publishing process, which would make wikepedia a more reliable source of information.",0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
238,A09023,We should ban the use of children's actors.,in favor of,"The world of action is a high pressure, an extremely stressful place and children should be protected from it.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
243,A09028,We should adopt gender-neutral language.,in favor of,Many people don't feel comfortable with their sex and feel offended when we use inappropriate words.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
244,A09029,We should ban private military companies.,in favor of,Private military companies should be banned because it is immoral to make money out of the war,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
245,A09030,We should abolish safe spaces.,in favor of,People need to grow and realize that the world is a difficult place,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
248,A09035,We should abolish the Olympic Games,against,The Olympic Games provide jobs and a stimulus for the host country's economy.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
249,A09036,We should ban factory farming.,against,"· Factory farming allows meat to be produced at a lower cost, allowing those with low incomes to buy meat.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
250,A09037,We should ban prayer in school.,against,"In today's fast-paced society, she is free to take the time to sit quietly and pray. She should be encouraged in our schools.",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
254,A09042,We should adopt a zero tolerance policy in schools.,against,"The zero tolerance policy is not a good thing at all, children being punished for their actions and humiliated in front of an audience is really not the big thing to do.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
255,A09043,We must put an end to the use of economic sanctions.,in favor of,Economic sanctions harm the poorest people of a nation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
256,A09045,We must put an end to the use of economic sanctions.,against,Economic sanctions can be very effective in bringing about social change,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,A09046,We should put an end to compulsory retirement.,in favor of,"There is a need to put an end to compulsory retirement, as it is unfair to the elderly.",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
258,A09048,We should adopt a multi-party system.,in favor of,"In multiparty systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
266,A09064,We should abolish the laws on the three strikes.,in favor of,The abolition of the Three Strikes Act would save money,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
268,A09069,We must limit judicial activism,in favor of,Judicial activism is biased and should be destroyed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
272,A09073,We should abolish zoos.,against,Zoos are a great way for children to get to know animals around the world.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
273,A09076,We should ban cosmetic surgery.,against,• Aesthetic surgery is important for repairing damaged skin or the limb of people involved in an accident. This will help them regain confidence and live their lives to the full.,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
274,A09077,We should legalize sexual selection,against,Gender selection can lead to an excessive abundance of a privileged gender in society,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
282,A09091,We should adopt a austerity regime.,in favor of,It is important to live within its fiscal means.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
283,A09093,We should put an end to compulsory retirement.,in favor of,You do not become unqualified for a job simply because you reach retirement age.,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
284,A09094,We should adopt libertarianism.,in favor of,We should adopt libertarianism because it causes less external interference in your personal life.,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
289,A10002,We should ban cosmetic surgery for minors.,in favor of,Minors are too young to know what they are doing and keep them waiting until they are adults and better able to make these kinds of decisions.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
296,A10012,We should abolish zoos.,against,"They should not abolish zoos because many are in danger of extinction, who need strategic places for scientific studies or fundraising to finance projects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
297,A10013,We should abolish the death penalty,in favor of,The death penalty is considered a cruel and inhumane way of treating prisoners.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
299,A10015,We must abolish the right to keep and bear arms.,against,The right to keep and bear arms is enshrined in the Constitution and cannot be violated or revoked - it would dilute the importance and sanctity of other doctrines.,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
302,A10018,We should put an end to compulsory retirement.,in favor of,Some older workers love their work and would be devastated to be forced to stop working,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
316,A12019,We should abolish the Olympic Games,against,The Olympics have long been the goal for athletes to aim to be the best in order to abolish the games would take away their dreams and ambitions.,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
319,A12024,We should legalize trade in organs.,in favor of,People should be allowed to buy organs from other countries by buying them if the waiting list for their transplant is too long and they are at risk of dying.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
320,A12025,We must fight for the abolition of nuclear weapons.,in favor of,Nuclear weapons are destructive and useless,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
323,A12030,We should abolish the Olympic Games,in favor of,The Olympic Games are usually a drain on the host city's economy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
326,A12036,We should ban algorithmic trading.,against,Ai is the future and algorithmic trading is simply a form of ai that takes the best advantage of trading opportunities that will be the norm in the not-distant future.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
327,A12037,We should cancel the pride parades.,against,The parades of pride are important to understand others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
328,A12038,We should abolish zoos.,in favor of,The zoos are too small and do not provide animals with the space and habitat from which they were born.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
330,A12042,We should abolish safe spaces.,in favor of,We should abolish safe spaces because those who are easily offended need to grow,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
331,A12043,We should give up the use of the school uniform.,in favor of,We should give up the use of school uniform because people need to be free to express their thoughts on clothing.,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
332,A12044,We should adopt atheism,in favor of,The adoption of atheism would put an end to conflicts that arise from conflicting religious beliefs making the world a safer place.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
333,A12046,We should ban factory farming.,against,Factory farming is efficient and reduces food production costs.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
334,A12049,We should limit the remuneration of executives.,against,"We should not limit the remuneration of managers because it is their company that they have started, they are entitled to profits.",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
335,A12050,We should ban cosmetic surgery for minors.,in favor of,"By allowing cosmetic surgery for minors, it is easy for minors to put pressure on well-intentioned parents, even if this is objectively a bad decision.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
341,A12060,We should put an end to compulsory retirement.,against,A mandatory retirement age helps employers regularly refresh the workforce with new talents,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343,A12063,We should adopt a austerity regime.,in favor of,The austerity regimes allow the government to balance financial deficits and save the country from economic collapse.,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
347,A12067,We should abolish zoos.,in favor of,Zoos should be abolished so that animals can flourish in a setting that allows them to go freely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
350,A12071,We should ban whaling.,against,· Whale hunting should be allowed when it helps to revive declining fish populations.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
351,A12072,We should subsidize space exploration.,in favor of,Space exploration is the next frontier.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,A12075,We should put an end to compulsory retirement.,against,Compulsory retirement is necessary to keep new and fresh businesses with the innovation of the younger generation.,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
355,A12078,We should ban algorithmic trading.,in favor of,"Even if an algorithm can react faster than a person, it cannot accurately predict markets.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
363,A12088,We should abolish the death penalty,in favor of,"The death penalty is an old, outdated, inhuman practice and must be abolished.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
364,A12089,We should abolish zoos.,in favor of,We should abolish zoos because it's dangerous and not good for animals to be out of their natural habitat just for human entertainment.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
365,A12090,We should legalize sexual selection,in favor of,Parents should be able to choose the sex child they will have.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
367,A12094,We should ban algorithmic trading.,against,"• Algorithmic trading allows more trades to occur, involving more people in the economy",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
368,A12095,We should abolish the Olympic Games,against,The Olympic Games offer a friendly competition meeting where the best athletes in the world can come together to celebrate the best of human physical achievement.,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
372,A12102,We should ban cosmetic surgery.,in favor of,The aesthetic surgery has too much risk of something that goes wrong with the advantage of looking more aesthetically pleasant.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
373,A12104,We should ban the Church of Scientology,against,We should not ban the Church of Scientology because it is a way to study the nature of life.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
374,A12106,We should ban the use of children's actors.,against,Children's actors should be allowed to work and bring their talents to society.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
375,A12107,We should abolish the Olympic Games,against,The Olympic Games bear witness to the spirit of amateur athletics.,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
377,A12110,We should adopt gender-neutral language.,against,"We shouldn't have to adopt a gender neutral language, I think people should just understand that people speak languages in different ways and that they should be acceptable in that regard.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
378,A12111,We should ban algorithmic trading.,against,The algorithmic trading is profitable because it is timely and accurate.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
380,A12113,We should ban cosmetic surgery for minors.,against,"Everyone has the right to choose what he wants to do with his body, it is not in our place to decide whether cosmetic surgery is bad for minors.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
383,A12117,We should adopt a austerity regime.,in favor of,"It would help people spend less money, which would be good for the economy.",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
384,A12118,We must fight for the abolition of nuclear weapons.,in favor of,Nuclear weapons are highly volatile and should be eliminated.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
386,A12121,We should legalize sexual selection,against,Allowing gender selection could lead to a gender imbalance in the population.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
388,A12123,We should abolish safe spaces.,against,Everyone needs a place where they can be accepted without judgment.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
391,A12128,We should abolish intellectual property rights,in favor of,Intellectual property rights should be abolished because they do not allow the sharing of ideas.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
393,A12131,We should ban factory farming.,against,Factory farming reduces the cost of food,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
394,A12132,We should subsidize space exploration.,in favor of,We must subsidize space exploration in order to find a living planet on which we can live when we finally destroy the one we live on now.,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
397,A12140,We should ban the Church of Scientology,against,"If people feel personal satisfaction in Scientology, I don't see why we should ban it.",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
401,A12148,We should ban cosmetic surgery.,against,We shouldn't ban cosmetic surgery because there are some people who really need it to do to improve their way of life.,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
404,A12155,We should ban human cloning.,in favor of,Human cloning is unethical and has repercussions that we don't even know yet.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
409,A12163,We should ban factory farming.,against,Factory farming has allowed food prices to fall considerably.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
411,A12166,We should ban algorithmic trading.,against,The algorithmic trading is faster and more accurate than human guessing and thus offers greater value to shareholders.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
416,A12173,We should adopt gender-neutral language.,in favor of,"With gender equality now more than ever, and gender neutrality growing exponentially, the old gender language is only a historical anachronism.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
422,A12182,We should ban the use of children's actors.,in favor of,To have a child work as an actor deprives them of childhood experiences and interactions.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
423,A12183,We should oppose collectivism.,in favor of,collectivism suppresses an individual's right to promote his or her private interests and exercise his or her autonomy,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,A12188,We should ban factory farming.,in favor of,Factory farming should be prohibited because the animals on these farms are held in poor conditions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
429,A12191,We must put an end to the use of economic sanctions.,against,· Economic sanctions make items manufactured in foreign countries and shipped here more affordable for Americans in difficulty.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
431,A12195,We should ban factory farming.,in favor of,"Industrial agriculture creates health risks and increases pollution, and on the whole it is bad for the environment.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
432,A12199,We should adopt atheism,against,"People have the right to believe in any god in which they choose to believe. As religion offers comfort, atheism must not be adopted.",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
434,A12206,We should ban whaling.,against,· Whale hunting is part of a large number of crops,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
436,A12209,We should ban human cloning.,in favor of,Human cloning is very open to abuse and could be used for bad things,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
